"measure","status","current_description","replacement_description","expression"
"meas._debug_selected_metric","KEEP","Measure calculating debug selected metric. Respects the current filter context.","Debug/helper measure used to validate selected metric behavior in the current reporting context.",""
"meas.active_list_owner_user_role_aliased","KEEP","Measure calculating active list owner user role aliased. Respects the current filter context.","Helper measure used for internal calculations, dynamic formatting, or visual behavior.",""
"meas.adj_dur_confidence","KEEP","Measure calculating adj dur confidence. Respects the current filter context.","Returns the confidence score for adjusted duration estimates used in opportunity progression analysis.","VAR _conf =  ROUND([meas.ssr_history_adj_dur_conf]*100,0)           // get the avg of ci time allocation confidence
			
			var _status_ = 
			    IF(
			    _conf >= 0 && _conf <= 49, ""Limited"",
			        IF(
			            _conf >=50 && _conf <= 74, ""Fair"",
			            IF(
			                _conf >=75 && _conf <= 84, ""Good"",
			                IF(
			                    _conf >=85 && _conf <= 94, ""Great"",
			                    ""Excellent""
			                )
			            )
			        )
			)
			
			
			
			RETURN 
			IF(
			    _conf <>0,
			    _status_ & "" ("" & _conf & "")""  // Convert _conf to integer text format
			)"
"meas.adj_dur_confidence_status_number","KEEP","Measure calculating adj dur confidence status number. Respects the current filter context.","Returns the categorical status number derived from adjusted duration confidence scoring.","VAR _conf =  ROUND([meas.ssr_history_adj_dur_conf]*100,0)           // get the avg of ci time allocation confidence
			
			var _status_ = 
			    IF(
			    _conf >= 0 && _conf <= 49, 1,
			        IF(
			            _conf >=50 && _conf <= 74, 2,
			            IF(
			                _conf >=75 && _conf <= 84, 3,
			                IF(
			                    _conf >=85 && _conf <= 94, 4,
			                    5
			                )
			            )
			        )
			)
			
			
			
			RETURN 
			IF(
			    _conf <>0,
			    _status_
			)"
"meas.aliasing_label","KEEP","Measure calculating aliasing label. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.","CALCULATE(FIRSTNONBLANK(metadata_aliasing[label] , ""No Such Field"")) // needs to be filterd by correct model/field to show the right data"
"meas.aliasing_label_entity_cust_field_1","KEEP","Measure calculating aliasing label entity cust field 1. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.","// needs to be filterd by correct model/field to show the right data
			 CALCULATE(
			    FIRSTNONBLANK(metadata_aliasing[alias] , ""No Such Field""),
			    metadata_aliasing[label] = ""entity_crm_custom_value_1""
			)"
"meas.aliasing_labels_cust_field","KEEP","Measure calculating aliasing labels cust field. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.","// needs to be filterd by correct model/field to show the right data
			 CALCULATE(
			    FIRSTNONBLANK(metadata_aliasing[alias] , ""No Such Field"")
			)"
"meas.all_stkhlds_count","KEEP","Count of all stkhlds count. Respects the current filter context.","Summarizes all activities from stakeholders.","CALCULATE(SUM(ssr_history[stkhlds_all_act_count]))"
"meas.all_stkhlds_title","KEEP","Measure calculating all stkhlds title. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.","""All Stakeholder - "" & [meas.all_stkhlds_count]"
"meas.annual_booking_mrr_existing_customer_selling_won_amt","KEEP","Measure calculating annual booking mrr existing customer selling won amt. Respects the current filter context.","Returns won existing-customer-selling booking amount, or converts it to monthly recurring revenue, based on the selected Booking Amount Display Mode.",""
"meas.annual_booking_mrr_new_logo_won_amt","KEEP","Measure calculating annual booking mrr new logo won amt. Respects the current filter context.","Returns won new-logo booking amount, or converts it to monthly recurring revenue, based on the selected Booking Amount Display Mode.",""
"meas.annual_booking_mrr_won_amt","KEEP","Measure calculating annual booking mrr won amt. Respects the current filter context.","Returns won booking amount, or converts it to monthly recurring revenue, based on the selected Booking Amount Display Mode.",""
"meas.annual_booking_mrr_won_amt_text","KEEP","Measure calculating annual booking mrr won amt text. Respects the current filter context.","Returns the selected booking display label (monthly recurring revenue or Annual Bookings) based on Booking Amount Display Mode.","var _selected_value = SELECTEDVALUE(all_act_support[Booking Amount Display Mode])       // get the slicer value
			
			var res = 
			    IF(
			        _selected_value=""MMR Bookings"",
			        ""MRR"",
			        ""Annual Bookings""
			    )
			
			RETURN
			res"
"meas.avg_time_spent_per_deal_ratio_existing_customer_selling","KEEP","Average of avg time spent per deal ratio existing customer selling. Respects the current filter context.","Returns average time spent per deal ratio existing customer selling where step is Existing Customer Selling.","var highes_high_mid = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""Existing Customer Selling"",           // get the time for highest, high and mid
			    quality_buckets[bucket] in {""Highest"", ""High"", ""Mid""}
			)
			
			var lowest_low = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""Existing Customer Selling"",       // get the time for lowest and low
			    quality_buckets[bucket] in {""Lowest"", ""Low""}
			)
			
			var ratio = DIVIDE(highes_high_mid, lowest_low, 0)              // get the ratio 
			var res = FORMAT(ratio, ""0.0"")
			RETURN
			res"
"meas.avg_time_spent_per_deal_ratio_new_logo_selling","KEEP","Average of avg time spent per deal ratio new logo selling. Respects the current filter context.","Returns average time spent per deal ratio new logo selling where step is New Logo Selling.","var highes_high_mid = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""New Logo Selling"",           // get the time for highest, high and mid
			    quality_buckets[bucket] in {""Highest"", ""High"", ""Mid""}
			)
			
			var lowest_low = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""New Logo Selling"",       // get the time for lowest and low
			    quality_buckets[bucket] in {""Lowest"", ""Low""}
			)
			
			var ratio = DIVIDE(highes_high_mid, lowest_low, 0)              // get the ratio 
			var res = FORMAT(ratio, ""0.0"")
			RETURN
			res"
"meas.avg_time_spent_per_deal_ratio_post_sales_support","KEEP","Average of avg time spent per deal ratio post sales support. Respects the current filter context.","Returns average time spent per deal ratio post sales support where step is Post-Sales Support.","var highes_high_mid = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""Post-Sales Support"",           // get the time for highest, high and mid
			    quality_buckets[bucket] in {""Highest"", ""High"", ""Mid""}
			)
			
			var lowest_low = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""Post-Sales Support"",       // get the time for lowest and low
			    quality_buckets[bucket] in {""Lowest"", ""Low""}
			)
			
			var ratio = DIVIDE(highes_high_mid, lowest_low, 0)              // get the ratio 
			var res = FORMAT(ratio, ""0.0"")
			RETURN
			res"
"meas.avg_time_spent_per_deal_ratio_prospecting","KEEP","Average of avg time spent per deal ratio prospecting. Respects the current filter context.","Returns average time spent per deal ratio prospecting where step is Prospecting.","var highes_high_mid = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""Prospecting"",           // get the time for highest, high and mid
			    quality_buckets[bucket] in {""Highest"", ""High"", ""Mid""}
			)
			
			var lowest_low = CALCULATE(
			    [meas.avg_time_spent_per_step],
			    ssr_history[step_name]=""Prospecting"",       // get the time for lowest and low
			    quality_buckets[bucket] in {""Lowest"", ""Low""}
			)
			
			var ratio = DIVIDE(highes_high_mid, lowest_low, 0)              // get the ratio 
			var res = FORMAT(ratio, ""0.0"")
			RETURN
			res"
"meas.avg_time_spent_per_step","KEEP","Average of avg time spent per step. Respects the current filter context.","Calculates average time spent per step in the current reporting context.",""
"meas.bucket_num","KEEP","Measure calculating bucket num. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.",""
"meas.count_greater_than_thresh","KEEP","Count of count greater than thresh. Respects the current filter context.","Helper measure used to filter out very small cohorts below a minimum size threshold in lead-generation analysis.","VAR _proba = [meas.ssr_history_leads_probability_of_conversion]
			//this measure helps you filter out small segments of a result so they don't ""pollute"" the result. Use this is a filter measure and make the condition ""greater than 0""
			// first get the current count but remove the groupiing filter context 
			var all_current_val =  CALCULATE(count(ssr_history[_sys_ssr_id]), ssr_history[_sys_ssr_id] <> ""abc"") // abc is a value that will never exist in the db
			// get the regular count in the current filter context
			var count_current_val = CALCULATE(distinctcount(ssr_history[_sys_ssr_id]), ssr_history[step_name] = ""Lead Gen"") 
			// see the ration of this value
			var ratio = DIVIDE(count_current_val, all_current_val)
			// set the threshold - in htis case 10%
			var thresh = 0.03
			// determine if the ratio is over the threshhold and resturn o
			var res  = IF(ratio >= thresh, _proba)
			return ratio"
