"measure","current_description","proposed_description"
"meas.data_logs_user_mgr_count_eop","Calculates data logs user manager count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context.","Calculates data logs user manager count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.data_logs_user_new_hires_reached_performer_within_12_months","Calculates data logs user new hires reached performer within 12 months. Uses the selected date range context.","Calculates data logs user new hires reached performer within 12 months. Uses the selected date range context."
"meas.data_logs_user_new_terminations","Counts users terminated during the selected period. Uses the selected date range context.","Counts users terminated during the selected period. Uses the selected date range context."
"meas.data_logs_user_individual_contrib_count_eop","Calculates data logs user individual contrib count end of period.","Calculates data logs user individual contrib count end of period."
"meas.data_logs_user_rep_mgr_ratio","Calculates representative-to-manager ratio in the selected reporting context.","Calculates representative-to-manager ratio in the selected reporting context."
"meas.data_logs_user_count_eop","Counts users at the end of the selected period. Uses the selected date range context. Uses the latest snapshot date within the current filter context.","Counts users at the end of the selected period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.data_logs_user_new_terminations_within_12_months","Calculates data logs user new terminations within 12 months. Uses the selected date range context.","Calculates data logs user new terminations within 12 months. Uses the selected date range context."
"meas.data_logs_ci_perf_tier_count","Calculates data logs customer intelligence performance tier count.","Calculates data logs customer intelligence performance tier count."
"meas.data_logs_user_net_new_users","Calculates net user change as new hires plus net termination contribution for the selected period. Calculates peer context values using the selected role.","Calculates net user change as new hires plus net termination contribution for the selected period. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role.","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role."
"meas.data_logs_user_count_bop","Counts users at the beginning of the selected period. Uses the selected date range context.","Counts users at the beginning of the selected period. Uses the selected date range context."
"meas.data_logs_user_count_change","Calculates data logs user count change.","Calculates data logs user count change."
"meas.data_logs_user_new_hires","Counts users hired during the selected period. Uses the selected date range context.","Counts users hired during the selected period. Uses the selected date range context."
"meas.data_logs_user_new_terminations_within_12_months_avg_tenure","Calculates data logs user new terminations within 12 months average tenure. Uses the selected date range context.","Calculates data logs user new terminations within 12 months average tenure. Uses the selected date range context."
"meas.data_logs_user_new_hires_reached_performer_success_rate","Calculates data logs user new hires reached performer success rate.","Calculates data logs user new hires reached performer success rate."
