"measure","current_purpose","expression_sample","replacement_description"
"meas.ai_scores_accts_industry","","var res =  [meas.ai_scores_accts_industry_factor1_value] //only one factor","Returns Accounts Industry Consolidation score from factor 1 value."
"meas.ai_scores_accts_leadsource","","var res =  [meas.ai_scores_accts_leadsource_factor1_value] //only one factor","Returns Accounts Lead Source Consolidation score from factor 1 value."
"meas.ai_scores_adj_duration","","var res =  [meas.ai_scores_adj_duration_factor1_value] //only one factor","Returns adjusted-duration score from factor 1 value."
"meas.ai_scores_booking_calibration","","VAR _score =","Returns the booking calibration score from company-level metadata, converted to numeric form and constrained to a 0-1 range."
"meas.ai_scores_ci_act_capt_lvl_conf","","var res = [meas.ai_scores_ci_act_capt_lvl_conf_factor1_value]","Returns confidence level for customer intelligence activity capture from its configured factor value."
"meas.ai_scores_ci_closing_ability","","var res = [meas.ai_scores_ci_closing_ability_factor1_value]","Returns customer intelligence closing ability score from factor 1 value."
"meas.ai_scores_ci_deal_maxing","","var res = [meas.ai_scores_ci_deal_maxing_factor1_value]","Returns customer intelligence deal maximizing score from factor 1 value."
"meas.ai_scores_ci_discovery_skill","","var res = [meas.ai_scores_ci_discovery_skill_factor1_value]","Returns customer intelligence discovery skill score from factor 1 value."
"meas.ai_scores_ci_engagement_ability","","var res = [meas.ai_scores_ci_engagement_ability_factor1_value]","Returns customer intelligence engagement ability score from factor 1 value."
"meas.ai_scores_ci_time_alloc","","var res = [meas.ai_scores_ci_time_allocation_factor1_value]","Returns customer intelligence time allocation score from factor 1 value."
"meas.ai_scores_ci_time_management","","var res = [meas.ai_scores_ci_time_management_factor1_value]","Returns customer intelligence time management score from factor 1 value."
"meas.ai_scores_ci_work_effort","","var res = [meas.ai_scores_ci_work_effort_factor1_value]","Returns customer intelligence work effort score from factor 1 value."
"meas.ai_scores_general_score","","var res = [meas.ai_scores_general_score_factor1_value]            // get the factor value 1","Returns overall data completeness score for leads and accounts from its configured factor value."
"meas.ai_scores_leads_industry","","var res =  [meas.ai_scores_leads_industry_factor1_value] //only one factor","Returns Leads Industry Consolidation score from factor 1 value."
"meas.ai_scores_leads_leadsource","","var res =  [meas.ai_scores_leads_leadsource_factor1_value] //only one factor","Returns Leads Lead Source Consolidation score from factor 1 value."
"meas.ai_scores_line_items_products","","var _won_ratio_raw = [meas.ai_scores_line_items_products_factor1_value]","Calculates the line item product quality score as a weighted blend of won-deal and lost-deal factors, then constrains the result to a 0-1 range."
"meas.ai_scores_list_price","","var total_list_items = [meas.ai_scores_list_price_items_factor1_value]","Calculates list-price quality by rewarding default list pricing and penalizing non-default pricing behavior."
"meas.ai_scores_opps_history","","VAR factor1 = [meas.ai_scores_opps_history_factor1_value]","Calculates opportunities history quality as factor 1 divided by factor 2, capped at 1.0."
"meas.ai_scores_opps_industry","","var score =  [meas.ai_scores_opps_industry_factor1_value]","Returns Opportunities Industry Consolidation score from factor 1 value."
"meas.ai_scores_opps_leadsource","","var score =  [meas.ai_scores_opps_leadsource_factor1_value]","Returns Opportunities Lead Source Consolidation score from factor 1 value."
"meas.ai_scores_performance_tiers","","var score =  [meas.ai_scores_performance_tiers_factor1_value]","Returns performance tier score from factor 1 value."
"meas.ai_scores_potential_acv","","var score = [meas.ai_scores_potential_acv_factor1_value]","Returns potential annual contract value score from its configured factor value."
"meas.ai_scores_pred_existing_customer_selling","","var factor1 = COALESCE([meas.ai_scores_existing_customer_selling_factor1_value], 0)","Calculates the Existing Customer Selling prediction score by combining normalized factor signals and averaging them."
"meas.ai_scores_pred_new_logo_selling","","var factor1 = COALESCE([meas.ai_scores_new_logo_selling_factor1_value], 0)","Calculates the New Logo Selling prediction score by combining normalized factor signals and averaging them."
"meas.ai_scores_pred_post_sales_support","","var factor1 = COALESCE([meas.ai_scores_post_sales_support_factor1_value], 0)","Calculates the Post-Sales Support prediction score by combining normalized factor signals and averaging them."
"meas.ai_scores_pred_prospecting","","var factor1 = COALESCE([meas.ai_scores_prospecting_factor1_value], 0)","Calculates the Prospecting prediction score by combining normalized factor signals and averaging them."
"meas.ai_scores_ramping","","var fromDate =[meas.context_date_min]","Calculates ramping success by combining ramping headcount rate with average ramping performance confidence for active users in the selected period."
"meas.ai_scores_rep_org_calibration","","VAR _score =","Returns the sales organization calibration score from company-level metadata, converted to numeric form and constrained to a 0-1 range."
"meas.ai_scores_revenue_calibration","","VAR _score =","Returns the revenue calibration score from company-level metadata, converted to numeric form and constrained to a 0-1 range."
"meas.ai_scores_ssr_industry","","var _conf = [meas.ai_scores_ssr_industry_factor1_value]","Returns Sales Stage Routing industry consolidation score from factor 1 value."
"meas.ai_scores_ssr_leadsource","","var _conf = [meas.ai_scores_ssr_leadsource_factor1_value]","Returns Sales Stage Routing lead-source consolidation score from factor 1 value."
"meas.ai_scores_success_factor_analysis","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Calculates success factor analysis score by combining latest training and validation quality metrics with a boost exponent."
"meas.ai_scores_vi","","var factor1 = [meas.ai_scores_vi_step_diff_factor1_value]      // get the factor 1","Calculates value intelligence score from stage-difference and tuning-share difference factors using a distance-from-ideal approach."
"meas.ai_scores_ci_time_allocation_factor2_value","","BLANK()","Returns blank because no second factor is defined for time allocation scoring."
"meas.ai_scores_existing_customer_selling_factor2_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 2 for Existing Customer Selling Success Predictions."
"meas.ai_scores_line_items_products_factor2_value","","var lost_deals = CALCULATE(","Returns complementary ratio of lost opportunities without line items, used as factor 2 for line-item quality."
"meas.ai_scores_list_price_items_non_default_factor2_value","","var total_list_items = CALCULATE(","Returns share of line items that use non-default list pricing, used as factor 2 for list-price scoring."
"meas.ai_scores_new_logo_selling_factor2_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 2 for New Logo Selling Success Predictions."
"meas.ai_scores_post_sales_support_factor2_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 2 for Post-Sales Support Success Predictions."
